Word Type,Word
English,Project Coordinator:
Phonetic,Brent Kaulback
English,Linguist:
Phonetic,Betty Harnum
English,Advisor:
Phonetic,Dr. Eung-Do Cook
English,Elders Committee:
Phonetic,Lawrence Fabien
English,Tommy Unka
Phonetic,Freddie King
English,Christine Fabien
Phonetic,Henry Calmut
English,Harvey Mandeville
Phonetic,Mary Jane Beaulieu
English,Sound Editor:
Phonetic,Tristan Kaulback
English,Photo Credits:
Phonetic,Jayne Murray
English,Ian Patterson
Phonetic,"(235, 256, 353)"
English,Brent Kaulback
Phonetic,"(129, 158, 181, 188, 229)"
English,Gov’t of NWT
Phonetic,(187)
English,NWT Archives
Phonetic,(93 (N-1979-003: 0538) 109 (G-1995-001: 8088)
English,Government of the Northwest Territories
Phonetic,Dene Culture Institute
English,Municipal and Community Affairs
Phonetic,Yamózha Kúé Society
English,Æ
Phonetic,a
English,dress
Phonetic,æi
English,ch’
Phonetic,d
English,ant
Phonetic,ch’âdíe
English,dl
Phonetic,dz
English,squirrel
Phonetic,dlíe
English,g
Phonetic,gh
English,rabbit
Phonetic,gah
English,j
Phonetic,k
English,mittens
Phonetic,jis
English,å
Phonetic,m
English,spoon
Phonetic,åus
English,r
Phonetic,s
English,underwear yút’ár
Phonetic,sun
English,t’
Phonetic,th
English,paddle
Phonetic,t’odhé
English,ts
Phonetic,ts’
English,money
Phonetic,tsâba
English,u
Phonetic,w
English,bug
Phonetic,gu
English,shirt
Phonetic,tth’izi æi
English,a little bit
Phonetic,yazaze
English,"abdomen, a person’s..."
Phonetic,dÿneb‡r
English,Aboriginal descendant
Phonetic,dÿne dédliné bets’î æáne
English,Aboriginal person
Phonetic,dÿne dédliné
English,above a location
Phonetic,yudók’e
English,above him/her/it
Phonetic,bedaghe
English,accident
Phonetic,huníla nádhÿr
English,according to him/her/it
Phonetic,begháré
English,ace of cards
Phonetic,lás
English,aces (card game)
Phonetic,lás
English,"aches, it ..."
Phonetic,æeåts’ai / heåts’ai
English,acid
Phonetic,tusåin
English,across
Phonetic,yunásk’ÿdhe
English,across the road
Phonetic,tûlu násk’ÿdhe
English,"active, she/he is ..."
Phonetic,náredí
English,addiction
Phonetic,æasí bedî ha dúe
English,addition (adding numbers)
Phonetic,æeåghárúlta
English,"adopted child, my …"
Phonetic,sekui seghãåtî
English,adult educator
Phonetic,æãåneth hóneåtÿn
English,adze / broad axe
Phonetic,tthêåkár
English,aerobics (she/he is active)
Phonetic,náredí
English,"afraid, she/he/it is …"
Phonetic,neljÿr
English,African / black person
Phonetic,dÿne delzÿn / dÿn delzÿn
English,after awhile
Phonetic,thílet’ú
English,after him/her/it
Phonetic,bek’íne
English,after that / afterwards
Phonetic,bek’ÿré
English,afternoon
Phonetic,dzîdis tå’ãghe
English,afterwards / after that
Phonetic,bek’ÿré
English,again
Phonetic,tth’í / tth’íu
English,against each other (in competition)
Phonetic,æeåch’á
English,"against him/her/it (eg. wind, current)"
Phonetic,bedá
English,"against, leaning ..."
Phonetic,bek’ézñ chanitî
English,"age, his or her ..."
Phonetic,beghayéagainst
English,aggressive (mean)
Phonetic,bení k’éch’onît’e
English,"agree, they ..."
Phonetic,æeåk’éret’â
English,"agreeable, she/he/it is …"
Phonetic,yek’óriæâ
English,ahead
Phonetic,natthe
English,airplane
Phonetic,æedzeret’áy
English,airplane pilot
Phonetic,æedzeret’áyt’iné
English,airplane propeller
Phonetic,æedzeret’áy t’odhé
English,airplane tail
Phonetic,dzeret’áy ché
English,airport
Phonetic,æedzeret’áy k’é
English,alcohol treatment centre
Phonetic,kúntué ch’as nánet’ÿn kuç
English,alcoholic beverage
Phonetic,kúntué
English,alcoholism
Phonetic,kúntué bedî ha dúe
English,alder
Phonetic,k’áílesÿn
English,Alexandra Falls
Phonetic,Náîlîcho
English,algae
Phonetic,tedláré
English,"alive, she/he/it …"
Phonetic,hena
English,all day
Phonetic,harelyø dzine
English,all night
Phonetic,harelyø tÿdhe
English,all of a sudden
Phonetic,æaxãts’î
English,all the time/ always
Phonetic,k’étå’á ts’‡n
English,allergy
Phonetic,æasí beba nezøle
English,almost
Phonetic,k’ájÿn
English,alone
Phonetic,then / æîåãlt’e
English,"alright, he/she/it is ..."
Phonetic,æesát’íle
English,also / too
Phonetic,chu / tth’í / tth’iú
English,altar
Phonetic,bek’e lamés æaåe
English,although
Phonetic,hát’e húlí / hát’e kúlí
English,altogether
Phonetic,harelyø æâhåa
English,always / all the time
Phonetic,k’étå’á ts’‡n
English,Alzheimer’s
Phonetic,bení húle æajá / shâ dáda
English,ambulance
Phonetic,beyé dÿne æeya dzérélyi
English,American
Phonetic,Bescho(gh) Dÿné
English,American Coot
Phonetic,ts’atth’ÿn
English,ammunition / bullet
Phonetic,æeåk’íthcho / lígardús
English,among them
Phonetic,benize
English,amputate
Phonetic,bek’et’áth
English,ancestor
Phonetic,tháydÿne
English,anchor
Phonetic,tezál
English,angel
Phonetic,yak’et’iné
English,Anglican
Phonetic,ts’ãåti
English,angry
Phonetic,hílch’e
English,"angry, she/he/it is …"
Phonetic,beník’éch’a
English,animal
Phonetic,ch’âdí / æech’ÿr
English,"ankle bone, a person’s ..."
Phonetic,dÿnekechÿntth’ÿn
English,"ankle, a person’s ..."
Phonetic,dÿnekechÿné
English,anklet / short socks
Phonetic,libá duaze
English,announcements
Phonetic,nuwe ts’áti ha
English,"answers, she/he ..."
Phonetic,bet’ãs bets’‡n nayaåti
English,ant
Phonetic,ch’âdíe
English,antlers
Phonetic,æedé
English,"antlers, moose ..."
Phonetic,denídé
English,"anus, a person’s ..."
Phonetic,dÿnetthÿl
English,anxious (eager) to ..s/he/it is …
Phonetic,beyé æøle
English,"anxious (worried), s/he/it is …"
Phonetic,nánidhÿr
English,anything
Phonetic,t’alasi
English,anytime
Phonetic,t’ólásí
English,apartment
Phonetic,kuç æeåyerîla
English,apparently/ maybe/ might
Phonetic,húto / to
English,"appendix, a person’s..."
Phonetic,dÿnets’ítsÿl
English,apple
Phonetic,bãdzaghé
English,April
Phonetic,Beniåîtthÿl Zá
English,apron
Phonetic,batél
English,arctic fox
Phonetic,ts’íbay
English,arctic hare
Phonetic,gahcho(gh)
English,arena
Phonetic,satsánke kuç
English,"argues, she/he/it …"
Phonetic,æeåk’éch’adi / æeåk’éch’a hadi
English,"arm, a person’s ..."
Phonetic,dÿnegáné
English,army / soldier
Phonetic,dÿne æeåxÿl dÿné
English,around him/her/it
Phonetic,benáre / benár
English,"arranging things, she/he is ..."
Phonetic,æasí æeåtth’i senílye
English,"arrested someone, he/she ....."
Phonetic,dÿne hílchu
English,"armpit, a person’s ..."
Phonetic,dÿneg‡n tå’aghe
English,arrow
Phonetic,k’á
English,art
Phonetic,æasí bénat’î
English,artist
Phonetic,æasí bénat’î heåtsi
English,arthritis
Phonetic,yátsén dáda
English,"artery, a person’s"
Phonetic,dÿnech’udhé
English,artifact
Phonetic,thayú
English,"ashamed, she/he/it is …"
Phonetic,horçjâ
English,ashes
Phonetic,tthilés
English,"asleep, she/he/it is ..."
Phonetic,thetî
English,"assembles something, she/he ..."
Phonetic,æasí æeåk’élye
English,assistant / helper
Phonetic,dÿne ts’éni
English,assistant teacher
Phonetic,sekui hóneåtÿn ts’éni
English,Assumption People
Phonetic,Tsát’iné
English,asthma
Phonetic,beyí nátsÿrle
English,attack (lot of people doing it)
Phonetic,dÿne húniådel
English,"attacks a person, he/she ..."
Phonetic,dÿne k’ñya
English,attendance (children are present)
Phonetic,sekui naidíl
English,auger for ice
Phonetic,bet’á tÿn ghâldeth
English,August
Phonetic,Dzînedháze Zá
English,"aunt deceased, my …"
Phonetic,sâk’íe nî
English,"aunt, my (father’s or mother’s sister)"
Phonetic,sâk’íe
English,"awake, he/she is .."
Phonetic,æeyã
English,away from him/her/it
Phonetic,bech’âzñ
English,awesome
Phonetic,nezû dúe
English,awl
Phonetic,tthal / thal
English,axe
Phonetic,tthêå / tthêl
English,axe throwing (s/he is throwing an axe)
Phonetic,tthêå yélyul
English,"axe, broad... / adze"
Phonetic,tthêåkár
English,baby
Phonetic,tâåtsi / bebí
English,baby bunting bag (moss bag)
Phonetic,bêåtth’ú
English,(recently born)
Phonetic,tâåtsi / bebí k’aní dÿnelî
English,baby songbird
Phonetic,æîyes tsiaze
English,babysitter
Phonetic,sekui k’élni / sekui k’és theda
English,bachelor
Phonetic,åãlt’e
English,back door
Phonetic,yat’âs tîdá
English,"back, a person’s..."
Phonetic,dÿnet’âs
English,"backbone, a person’s..."
Phonetic,dÿnen‡ntth’ÿn
English,"backing a fishnet, she/he is ..."
Phonetic,tabñl banaåt’í
English,backpack / packsack
Phonetic,naåchéth dzézegi
English,backwards
Phonetic,yunéts’‡n
English,bacon
Phonetic,gugúshk’a
English,bacteria
Phonetic,gu búret’ñle
English,"bad breath, she/he has ..."
Phonetic,bedhághé mâ
English,"bad situation, it is a …"
Phonetic,hûzøle
English,"bad, it is ..."
Phonetic,nezõle / nezøle
English,"bad, she/he is …"
Phonetic,bejÿr
English,badge
Phonetic,dazeåæâ
English,bag
Phonetic,naåchéth
English,baked fish
Phonetic,åuet’éth
English,baker
Phonetic,bekaåt’eth
English,baking powder
Phonetic,bet’á åézélyul / bet’á åés níyí
English,bald head
Phonetic,tthízúr
English,ball
Phonetic,dzól / dzolé
English,ball game
Phonetic,dzól t’á sats’edé
English,band councillors
Phonetic,lishéf k’íni déåtth’i
English,bank
Phonetic,tsâba kuç
English,bank of river
Phonetic,åésbaláí
English,banker / cashier
Phonetic,tsâba betå’azí huk’ir dÿné
English,bannock
Phonetic,åést’éth
English,bannock with fish eggs
Phonetic,åuek’únt’éth
English,baptise a person
Phonetic,dÿne k’étáídzil
English,baptism
Phonetic,bek’étáídzil
English,"bar, mud..."
Phonetic,åéstélt’úr / hatå’ést’úr
English,"bar, sand... / beach"
Phonetic,åéstél
English,bar/lounge
Phonetic,kúntué ts’eldél k’é
English,barbeque
Phonetic,kún k’et’éth
English,barber
Phonetic,dÿnetthíghá chet’ath dÿné
English,barely
Phonetic,æestaæñlú
English,barge
Phonetic,ts’ikár
English,barn
Phonetic,æejÿre kuç
English,barrel
Phonetic,líbarí
English,barrenlands
Phonetic,hazúghe / hazúé
English,baseball bat
Phonetic,dzolghál
English,basement
Phonetic,dechÿntél yaghe
English,"basket, birchbark ..."
Phonetic,k’i til
English,basketball
Phonetic,dzól yélyul
English,bat (animal)
Phonetic,tsáret’áné
English,"bat, baseball ..."
Phonetic,dzolghál
English,bathing suit
Phonetic,beyé tú náts’edhÿr yúé
English,bathroom / toilet
Phonetic,tsã kuç
English,bathtub
Phonetic,beyé dek’enáts’eltsil
English,battered fish
Phonetic,åue åés hél thet’e
English,beach / sandbar
Phonetic,åéstél
English,beaded jacket
Phonetic,æi æîåts’us t’á bek’e nánéåkâ
English,beading needle
Phonetic,æîåts’us thatîl
English,"beading, she/he is ..."
Phonetic,æîåts’us æenéåkâ
English,beads
Phonetic,æîåts’us
English,"beak, its ..."
Phonetic,bedhá
English,beans
Phonetic,jígay
English,bear
Phonetic,sas
English,bear cub
Phonetic,sasye
English,Bear Lake People
Phonetic,Sastuét’iné / Sastú Dÿne
English,"beard, a person’s ..."
Phonetic,dÿnedaghá
English,beaver
Phonetic,tsá
English,beaver blanket (pelt of big beaver)
Phonetic,tsánethdh‡th
English,beaver castor
Phonetic,tsálñ
English,beaver jacket
Phonetic,tsádh‡th æi
English,Beaver Lake
Phonetic,Tsátué
English,beaver meat
Phonetic,tsátth‡n
English,beaver pelt
Phonetic,tsádh‡th
English,Beaver people (Dÿne Ttha)
Phonetic,Tsát’iné
English,"beaver, very large ..."
Phonetic,tsá nedhé
English,bed
Phonetic,dáte / æéte
English,bedtime
Phonetic,netí ghâ níæâ
English,bee
Phonetic,tå’istthó
English,beef
Phonetic,kuç æejÿretth‡n
English,beehive
Phonetic,tå’istthó t’o
English,beer
Phonetic,bír
English,"beetle, water ..."
Phonetic,têåtsá / tehgu
English,beets
Phonetic,k’ezeldélk’ozé
English,before him/her/it
Phonetic,betthe
English,behind him/her/it
Phonetic,bek’íni
English,behind his/her back
Phonetic,bet’ãzî
English,"behind one’s back, s/he is talking.."
Phonetic,yenáåti
English,bell
Phonetic,bãtth’a
English,"belly button, a person’s ..."
Phonetic,dÿnetth’é
English,below him/her/it
Phonetic,beyaghe
English,belt
Phonetic,thÿth
English,bench
Phonetic,dáchÿn
English,"bending it, he she is ...."
Phonetic,denáyarîåhór
English,benediction
Phonetic,hñåts’‡n yati
English,berry
Phonetic,jíe / jí
English,berry bush
Phonetic,jít’áné
English,beside him/her/it
Phonetic,begá
English,between
Phonetic,begÿze
English,bicycle
Phonetic,dechÿnbâth
English,Big Buffalo Lake
Phonetic,Æejÿretúecho
English,Big Buffalo River
Phonetic,Æejÿretúdes
English,Big Eddy
Phonetic,K’áícheladare
English,Big Narrows at Hornby Channel
Phonetic,Æôkacho
English,big scale sucker
Phonetic,gøthchay
English,Big Slough
Phonetic,Dîyághecho
English,big; very big
Phonetic,nechá / -cho / nechácho(gh)
English,bilingual (speaks two languages)
